Date,Title,Artist,Peak_Position,Last_Position,Weeks_on_Chart,Rank_in_Chart,New_on_Chart
2014-11-12,Boom Clap,Charli XCX,8,24,22,36,False
2014-11-12,Burnin' It Down,Jason Aldean,12,26,15,37,False
2014-11-12,Anaconda,Nicki Minaj,2,23,13,38,False
2014-11-12,All Of Me,John Legend,1,32,56,39,False
2014-11-12,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,31,27,40,False
2014-11-12,Fancy,Iggy Azalea Featuring Charli XCX,1,39,35,41,False
2014-11-12,Happy,Pharrell Williams,1,40,44,42,False
2014-11-12,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",43,50,9,43,False
2014-11-12,0 To 100 / The Catch Up,Drake,35,41,15,44,False
2014-11-12,Latch,Disclosure Featuring Sam Smith,7,43,33,45,False
2014-11-12,Neon Light,Blake Shelton,43,47,11,46,False
2014-11-12,About The Money,T.I. Featuring Young Thug,42,42,13,47,False
2014-11-12,Riptide,Vance Joy,47,49,19,48,False
2014-11-12,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,49,55,9,49,False
2014-11-12,i,Kendrick Lamar,39,53,6,50,False
2014-11-12,Stolen Dance,Milky Chance,51,54,15,51,False
2014-11-12,Dirt,Florida Georgia Line,11,45,17,52,False
2014-11-12,I Bet My Life,Imagine Dragons,53,0,0,53,True
2014-11-12,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",54,0,0,54,True
2014-11-12,Something In The Water,Carrie Underwood,24,58,5,55,False
2014-11-12,No Flex Zone,Rae Sremmurd,36,52,14,56,False
2014-11-12,Somewhere In My Car,Keith Urban,57,61,10,57,False
2014-11-12,Sunshine & Whiskey,Frankie Ballard,57,57,17,58,False
2014-11-12,Girl In A Country Song,Maddie & Tae,59,60,13,59,False
2014-11-12,Style,Taylor Swift,60,0,0,60,True
2014-11-12,Day Drinking,Little Big Town,59,59,15,61,False
2014-11-12,Beg For It,Iggy Azalea Featuring M0,62,92,2,62,False
2014-11-12,L.A.LOVE (la la),Fergie,63,63,4,63,False
2014-11-12,Try Me,DeJ Loaf,64,67,2,64,False
2014-11-12,Amnesia,5 Seconds Of Summer,16,51,18,65,False
